searchString,rank,searchPageUrl,title,categoryName,address,neighborhood,street,city,postalCode,state,countryCode,website,phone,phoneUnformatted,claimThisBusiness,locatedIn,plusCode,totalScore,permanentlyClosed,temporarilyClosed,placeId,reviewsCount,imagesCount,url,imageUrl
driving,9,"https://www.google.com/maps/search/driving/@49.235145284689985,-123.11552921235806,16z?hl=en",Cambie Driving School,Driving school,"4111 Balkan St,Vancouver,BC V5V 3Z3,Canada",East Vancouver,4111 Balkan St,Vancouver,V5V 3Z3,British Columbia,CA,,+1 604-518-6011,16045186011,,,"6WX3+9P Vancouver, British Columbia, Canada",5.0,false,false,ChIJ_9SL3LRzhlQR1XTVSkU-PLU,204,6,https://www.google.com/maps/search/?api=1&query=Cambie%20Driving%20School&query_place_id=ChIJ_9SL3LRzhlQR1XTVSkU-PLU,https://lh5.googleusercontent.com/p/AF1QipMLzE5Vu3zSGW_CyW8QulanBdYzCibTimUgbyq1=w426-h240-k-no
driving,6,"https://www.google.com/maps/search/driving/@49.24634814234499,-123.04695091122254,16z?hl=en",Easyway Driving Academy,Driving school,"5325 McKinnon St,Vancouver,BC V5R 4C7,Canada",South Vancouver,5325 McKinnon St,Vancouver,V5R 4C7,British Columbia,CA,,+1 778-683-0911,17786830911,,,"6XP7+C4 Vancouver, British Columbia, Canada",5.0,false,false,ChIJI_Bb_CV3hlQRW6hdykw7KlY,94,11,https://www.google.com/maps/search/?api=1&query=Easyway%20Driving%20Academy&query_place_id=ChIJI_Bb_CV3hlQRW6hdykw7KlY,https://lh5.googleusercontent.com/p/AF1QipOQjDEEnIAvYFwKLygqH_NMAMJTyU2Yacb2U8wi=w408-h306-k-no
driving,20,"https://www.google.com/maps/search/driving/@49.235145284689985,-123.11552921235806,16z?hl=en",Metrocity Driving School,Driving school,"6808 Inverness St,Vancouver,BC V5X 4G2,Canada",South Vancouver,6808 Inverness St,Vancouver,V5X 4G2,British Columbia,CA,,+1 604-612-6407,16046126407,,,"6WFC+23 Vancouver, British Columbia, Canada",5.0,false,false,ChIJV4zWNbt1hlQR__OkkPX2rXE,51,4,https://www.google.com/maps/search/?api=1&query=Metrocity%20Driving%20School&query_place_id=ChIJV4zWNbt1hlQR__OkkPX2rXE,https://lh5.googleusercontent.com/p/AF1QipPbUzrENQIwwpNivA1nZ4E_-LfTMk6sYPh9Fd_I=w408-h544-k-no
driving,14,"https://www.google.com/maps/search/driving/@49.24634814234499,-123.04695091122254,16z?hl=en",Motor Skills Driving School,Driving school,"1631 E 22nd Ave,Vancouver,BC V5N 2P1,Canada",Knight,1631 E 22nd Ave,Vancouver,V5N 2P1,British Columbia,CA,,+1 236-688-8662,12366888662,,,"7W2H+6G Vancouver, British Columbia, Canada",5.0,false,false,ChIJSY4alP53hlQR7TQEZUaIHDo,30,1,https://www.google.com/maps/search/?api=1&query=Motor%20Skills%20Driving%20School&query_place_id=ChIJSY4alP53hlQR7TQEZUaIHDo,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xf7tbBzOeAbKZZy4BEkwIw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.9400988&pitch=0&thumbfov=100
driving,18,"https://www.google.com/maps/search/driving/@49.257551,-123.18410751349357,16z?hl=en",Arbutus Driving School,Driving school,"1892 W Broadway,Vancouver,BC V6J 1Y9,Canada",West Side,1892 W Broadway,Vancouver,V6J 1Y9,British Columbia,CA,,+1 604-734-1717,16047341717,checked,Money Mart,"7V72+CV Vancouver, British Columbia, Canada",4.4,false,false,ChIJj-CjZ7dzhlQRUzSnDB-HDHc,28,1,https://www.google.com/maps/search/?api=1&query=Arbutus%20Driving%20School&query_place_id=ChIJj-CjZ7dzhlQRUzSnDB-HDHc,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EagdZJafPX4VbErkVBBQ0w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=183.27632&pitch=0&thumbfov=100
driving,12,"https://www.google.com/maps/search/driving/@49.257551,-123.06409548650642,16z?hl=en",Saigon Driving School,Driving school,"1022 Kingsway,Vancouver,BC V5V 3C6,Canada",Knight,1022 Kingsway,Vancouver,V5V 3C6,British Columbia,CA,,+1 604-723-9003,16047239003,checked,Queen's Plaza,"7W38+9M Vancouver, British Columbia, Canada",4.5,false,false,ChIJh5WXuVVxhlQRqXoDgcbPjmo,21,1,https://www.google.com/maps/search/?api=1&query=Saigon%20Driving%20School&query_place_id=ChIJh5WXuVVxhlQRqXoDgcbPjmo,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IkHLuGNMP8FrVdzNVdF6Yg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=224.12349&pitch=0&thumbfov=100
driving,17,"https://www.google.com/maps/search/driving/@49.21273956937997,-123.0812400617903,16z?hl=en",CLC Driving School,Driving school,"864 E 52nd Ave,Vancouver,BC V5X 1H2,Canada",South Vancouver,864 E 52nd Ave,Vancouver,V5X 1H2,British Columbia,CA,,+1 778-319-9860,17783199860,,,"6WF7+25 Vancouver, British Columbia, Canada",4.6,false,false,ChIJMa6hXw90hlQRUjW54LXguTY,15,1,https://www.google.com/maps/search/?api=1&query=CLC%20Driving%20School&query_place_id=ChIJMa6hXw90hlQRUjW54LXguTY,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bz61H5sqtz9-042Cs2T56g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.36696&pitch=0&thumbfov=100
driving,10,"https://www.google.com/maps/search/driving/@49.279956715310014,-123.13267378764193,16z?hl=en",Greater Vancouver Driving Academy,Driving school,,,,,,,,,+1 778-709-3127,17787093127,,,,5.0,false,false,ChIJvVrPZMh9v2URRPq73-u8Hr8,11,8,https://www.google.com/maps/search/?api=1&query=Greater%20Vancouver%20Driving%20Academy&query_place_id=ChIJvVrPZMh9v2URRPq73-u8Hr8,https://lh5.googleusercontent.com/p/AF1QipNUwYFeMN8zYbOegamSg1AMPDBk5Spb0Z1yTCCF=w408-h860-k-no
driving,19,"https://www.google.com/maps/search/driving/@49.279956715310014,-123.13267378764193,16z?hl=en",The Truth Driving Schools,Driving school,,,,,,,,,+1 604-773-8906,16047738906,,,,5.0,false,false,ChIJH5kJU1J3hlQRJ8G25ScLJRA,9,11,https://www.google.com/maps/search/?api=1&query=The%20Truth%20Driving%20Schools&query_place_id=ChIJH5kJU1J3hlQRJ8G25ScLJRA,https://lh5.googleusercontent.com/p/AF1QipMiKMoj0Zm2BzD_41cejVMqyclCgVnsc07Fd-0O=w428-h240-k-no
driving,2,"https://www.google.com/maps/search/driving/@49.21273956937997,-123.04695091122254,16z?hl=en",Bismillah Driving School,Driving school,"7557 Elliott St,Vancouver,BC V5S 2N8,Canada",South Vancouver,7557 Elliott St,Vancouver,V5S 2N8,British Columbia,CA,,+1 604-600-4661,16046004661,checked,,"6W8W+76 Vancouver, British Columbia, Canada",5.0,false,false,ChIJ9b4x0OF1hlQR_WCFticoBu4,1,1,https://www.google.com/maps/search/?api=1&query=Bismillah%20Driving%20School&query_place_id=ChIJ9b4x0OF1hlQR_WCFticoBu4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3aton3AUDWkWdcRrgnDk_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.18057&pitch=0&thumbfov=100
driving,8,"https://www.google.com/maps/search/driving/@49.257551,-123.09838463707418,16z?hl=en",GV driving academy,Driving school,,,,,,,,,+1 778-709-3127,17787093127,,,,5.0,false,false,ChIJffDMWZGpLK8RBcspPtB7V54,1,,https://www.google.com/maps/search/?api=1&query=GV%20driving%20academy&query_place_id=ChIJffDMWZGpLK8RBcspPtB7V54,